id,rut,nombre,email,sexo,edad,estado_civil,tiene_hijos,profesion,ingreso_mensual_clp,segmento,es_cliente,antiguedad_cuenta_meses,conocimiento_inversiones,acepta_comunicaciones,oferta_credito_clp,tasa_credito_pct,oferta_tc_limite_clp
1,99.001.000-K,CarlosMango Demo,carlos.mango1@demo-financiero.cl,F,30,casado,False,Consultor,3316908,masivo,True,65.0,bajo,True,14116935,1.93,1408873
2,99.002.000-K,AnaKiwi Prueba,ana.kiwi2@demo-financiero.cl,M,27,divorciado,True,Psicólogo,7066886,premium,True,76.0,medio,True,20423498,1.17,4661614
3,99.003.000-K,PedroLimón Ficticio,pedro.limon3@demo-financiero.cl,M,33,divorciado,True,Médico,7015020,premium,True,44.0,alto,True,20772630,0.98,3047546
4,99.004.000-K,MaríaPera Ejemplo,maria.pera4@demo-financiero.cl,M,66,casado,True,Profesor,1330991,masivo,False,,medio,True,8850128,1.59,997925
5,99.005.000-K,JorgeUva Falso,jorge.uva5@demo-financiero.cl,F,45,soltero,True,Farmacéutico,1607320,masivo,True,51.0,bajo,True,8700989,1.77,2055988
6,99.006.000-K,ClaudiaFresa Test,claudia.fresa6@demo-financiero.cl,F,41,soltero,False,Enfermero,2308744,masivo,False,,bajo,True,14608182,2.17,2336332
7,99.007.000-K,DiegoMelón Simulado,diego.melon7@demo-financiero.cl,F,38,casado,False,Diseñador,498683,emergente,True,22.0,medio,False,1597428,3.07,330714
8,99.008.000-K,ValentinaSandía Muestra,valentina.sandia8@demo-financiero.cl,M,64,casado,False,Diseñador,481160,emergente,True,22.0,bajo,True,535577,2.86,206167
9,99.009.000-K,FelipePapaya Demo,felipe.papaya9@demo-financiero.cl,F,55,casado,False,Enfermero,339621,emergente,False,,bajo,True,422289,2.75,293581
10,99.010.000-K,SofíaCiruela Prueba,sofia.ciruela10@demo-financiero.cl,F,38,casado,True,Profesor,503959,emergente,True,14.0,bajo,False,1799555,2.44,231159
11,99.011.000-K,CarlosDurazno Ficticio,carlos.durazno11@demo-financiero.cl,F,52,casado,True,Periodista,2083056,masivo,True,66.0,bajo,True,12992136,2.01,2889150
